date,close,open,high,low,volume,amount,code,name
2025-05-21,2481.07,2472.03,2509.4,2445.78,6.34550553,44.8592743625,801016,种植业
2025-05-22,2443.49,2470.18,2491.69,2433.13,5.78962899,38.5573485463,801016,种植业
2025-05-23,2396.62,2432.46,2455.32,2390.23,5.62241074,38.076150939,801016,种植业
2025-05-26,2434.3,2395.67,2441.87,2384.98,3.78374258,27.9661944556,801016,种植业
2025-05-27,2478.14,2438.17,2488.94,2424.85,5.84607039,45.948145859200004,801016,种植业
2025-05-28,2443.88,2481.75,2492.76,2430.1,5.40154901,44.7311198716,801016,种植业
2025-05-29,2452.95,2436.08,2470.52,2417.07,4.76809793,36.5757110941,801016,种植业
2025-05-30,2436.2,2443.52,2476.59,2421.21,4.57539704,35.1146317512,801016,种植业
2025-06-03,2457.54,2423.21,2470.31,2412.23,4.3338375,31.145088335100002,801016,种植业
2025-06-04,2469.71,2455.85,2482.86,2428.12,5.51432768,34.9451171544,801016,种植业
2025-06-05,2458.37,2465.67,2488.1,2441.7,4.63484529,31.5731339647,801016,种植业
2025-06-06,2466.28,2453.16,2494.61,2445.16,5.18809337,32.9696701779,801016,种植业
2025-06-09,2485.37,2459.96,2497.19,2449.58,4.17174886,30.5769389373,801016,种植业
2025-06-10,2521.33,2485.4,2586.06,2443.27,10.70054604,77.0046861225,801016,种植业
2025-06-11,2514.41,2490.43,2531.26,2477.51,7.14450042,48.097690216800004,801016,种植业
2025-06-12,2483.18,2504.7,2519.55,2461.44,5.62555109,38.9668569232,801016,种植业
2025-06-13,2459.57,2475.84,2507.42,2446.56,5.77508118,40.0048908073,801016,种植业
2025-06-16,2472.78,2459.99,2490.31,2440.2,5.06723908,34.4868791712,801016,种植业
2025-06-17,2481.4,2470.19,2515.4,2457.31,5.73230227,39.1561630733,801016,种植业
2025-06-18,2461.35,2473.78,2502.22,2444.77,5.72981525,38.5045514006,801016,种植业
2025-06-19,2405.63,2454.67,2469.73,2397.75,5.33797226,35.6857317458,801016,种植业
2025-06-20,2392.75,2409.71,2430.05,2385.31,3.55006369,24.1672022334,801016,种植业
2025-06-23,2422.6,2386.74,2431.16,2368.36,3.59152985,24.7533870438,801016,种植业
2025-06-24,2446.15,2418.86,2455.93,2407.42,3.96973461,27.327045545,801016,种植业
2025-06-25,2442.93,2448.44,2465.88,2416.55,4.76750103,32.1435022403,801016,种植业
2025-06-26,2432.85,2439.35,2451.58,2419.69,4.16597519,26.984979252800002,801016,种植业
2025-06-27,2427.19,2430.94,2448.99,2415.64,3.50436553,22.8964854344,801016,种植业
2025-06-30,2435.27,2425.97,2442.49,2414.03,3.31881847,22.5683263396,801016,种植业
2025-07-01,2448.61,2434.1,2460.33,2425.21,3.96167289,26.5872329952,801016,种植业
2025-07-02,2457.64,2448.3,2474.25,2433.97,4.8450631,30.6634001775,801016,种植业
2025-07-03,2460.19,2456.3,2473.12,2441.73,3.92399557,26.7369233858,801016,种植业
2025-07-04,2466.8,2459.69,2491.82,2440.34,6.05298734,40.2044743223,801016,种植业
2025-07-07,2496.18,2463.57,2509.92,2447.41,6.39744856,45.2210891558,801016,种植业
2025-07-08,2494.09,2488.27,2500.75,2468.85,5.23995242,36.4154420141,801016,种植业
2025-07-09,2478.76,2490.14,2511.66,2469.35,4.84089064,33.5186301113,801016,种植业
2025-07-10,2481.8,2479.92,2490.58,2460.29,3.87497958,26.2464063902,801016,种植业
2025-07-11,2486.0,2479.59,2499.02,2467.29,3.94848177,27.669289827300002,801016,种植业
2025-07-14,2484.45,2481.78,2502.34,2469.3,3.20755072,23.0408353067,801016,种植业
2025-07-15,2437.19,2479.81,2487.86,2421.33,4.9958636,35.063923296300004,801016,种植业
2025-07-16,2455.7,2437.13,2470.76,2430.98,3.24153293,22.1380167446,801016,种植业
2025-07-17,2471.55,2455.27,2484.79,2445.81,3.58958237,23.7035614706,801016,种植业
2025-07-18,2478.17,2475.21,2491.48,2460.51,3.28370641,22.370528185599998,801016,种植业
2025-07-21,2510.82,2475.4,2526.52,2467.53,5.86230002,39.025422054,801016,种植业
2025-07-22,2529.75,2511.68,2537.61,2482.91,6.01857769,41.185925264699996,801016,种植业
2025-07-23,2510.01,2532.54,2556.48,2496.28,6.49714945,45.0517448939,801016,种植业
2025-07-24,2599.85,2515.12,2612.01,2504.18,11.92220576,79.0956867438,801016,种植业
2025-07-25,2565.7,2608.18,2630.51,2547.98,9.7304118,64.2202872056,801016,种植业
2025-07-28,2554.54,2576.91,2593.24,2540.87,6.34557884,43.95484690479999,801016,种植业
2025-07-29,2524.68,2557.21,2563.33,2500.24,5.27675262,37.6518520786,801016,种植业
2025-07-30,2559.82,2518.46,2590.06,2507.46,8.6687307,64.4749834383,801016,种植业
2025-07-31,2511.13,2554.51,2566.96,2500.36,6.09515612,44.4426449839,801016,种植业
2025-08-01,2512.88,2505.46,2538.73,2492.28,3.96486842,29.1165659606,801016,种植业
2025-08-04,2526.8,2501.9,2542.7,2488.52,3.5293909,27.104904415100002,801016,种植业
2025-08-05,2544.03,2530.04,2559.81,2518.07,4.28076835,30.0361725535,801016,种植业
2025-08-06,2537.19,2539.6,2549.13,2517.34,3.63662225,25.8435619335,801016,种植业
2025-08-07,2563.9,2534.33,2581.77,2522.15,6.96170612,50.8540418393,801016,种植业
2025-08-08,2592.36,2556.31,2605.71,2544.59,5.80391945,43.599748893699996,801016,种植业
2025-08-11,2588.75,2585.85,2604.57,2558.36,5.41600572,42.3033443386,801016,种植业
2025-08-12,2571.61,2583.19,2607.44,2562.61,4.93592394,36.5903624103,801016,种植业
2025-08-13,2579.65,2575.49,2596.82,2553.47,4.48363276,34.730546049699996,801016,种植业
2025-08-14,2535.58,2577.68,2592.34,2529.19,4.96521862,36.9942098139,801016,种植业
2025-08-15,2567.01,2532.64,2574.88,2525.99,4.29195867,32.9283635839,801016,种植业
2025-08-18,2585.16,2572.39,2600.66,2557.93,5.62148905,41.2695099047,801016,种植业
2025-08-19,2589.42,2585.64,2607.4,2566.18,4.47335886,33.5638647336,801016,种植业
2025-08-20,2614.0,2574.43,2626.88,2551.98,6.62978704,51.8237668271,801016,种植业
2025-08-21,2638.59,2615.35,2671.11,2602.48,7.19681404,54.7157535863,801016,种植业
2025-08-22,2622.93,2634.94,2647.55,2596.2,5.35958365,41.0820549615,801016,种植业
2025-08-25,2636.04,2626.23,2659.64,2600.85,7.01290146,55.1466012824,801016,种植业
2025-08-26,2641.39,2636.23,2671.48,2615.55,6.04533709,47.0915846955,801016,种植业
2025-08-27,2604.09,2638.79,2665.17,2585.54,7.79305419,57.4025459012,801016,种植业
